Model,Accuracy(%),Macro F1,Precision,Recall,MCC,FPR(%),Parameters,FLOPs(M),BOPs(M),IOPs(M),PackedPayload(KB),AnalyticPayload(KB),Float32Payload(KB),InfTime(ms)
MLP,92.08,0.5748,0.6265,0.577,0.9143,0.25,15938,0.0161,0.0,0.0,63.77,63.77,63.77,44.3
CNN,89.18,0.5991,0.6974,0.5924,0.883,0.35,84962,0.4497,0.0,0.0,333.4,333.4,333.4,45.5
LSTM,96.22,0.6066,0.7064,0.604,0.9588,0.12,53634,1.5983,0.0,0.0,209.51,209.51,209.51,42.5
MLP-INT8,84.59,0.5432,0.589,0.5492,0.8326,0.49,15938,0.0008,0.0,0.0153,18.98,18.98,63.77,46.5
BNN,97.3,0.596,0.6366,0.5932,0.9704,0.08,32514,0.006,0.0266,0.0,28.03,28.03,128.78,57.1
BNN-INT8IO,85.08,0.5413,0.5845,0.5365,0.8372,0.48,32514,0.0009,0.0266,0.0051,13.23,13.23,128.78,58.8
BNN-FULL,71.08,0.3466,0.3306,0.3869,0.6959,0.93,32514,0.0009,0.0317,0.0,8.9,8.9,128.78,54.3
BNN-MATCHED,97.75,0.6039,0.6528,0.5973,0.9754,0.07,15746,0.0054,0.0102,0.0,23.52,23.52,62.27,53.1
BNN-INT8IO-MATCHED,81.75,0.528,0.5815,0.5292,0.8029,0.59,15746,0.0004,0.0102,0.0051,8.72,8.72,62.27,54.6
BiPruneFL-Repro,97.96,0.6366,0.6753,0.6326,0.9777,0.06,15938,0.0058,0.0051,0.0,63.77,63.77,63.77,65.5
